,Nama Mobil,Harga Cash,Harga Credit,Bahan Bakar,Warna,Jumlah Tempat Duduk,Tanggal Registrasi,Tipe Registrasi,Jarak Tempuh,Kunci Cadangan,Buku Servis,Garansi Pabrik,Masa Berlaku
0,2018 Mercedes-Benz GLA 200 AMG 1.6,479000000.0,11126697.0,Bensin,Putih,4,Agt 2018,Perorangan,33827,Ya,Tidak,Tidak,Agt 2022
1,2019 Toyota AGYA G 1.2,111000000.0,2668585.0,Bensin,Putih,5,Jul 2019,Perorangan,30404,Ya,Tidak,Tidak,Jul 2023
2,2017 Honda JAZZ RS 1.5,210000000.0,4944001.0,Bensin,Abu-abu,5,Mei 2017,Perorangan,83487,Ya,Ya,Tidak,Mei 2023
3,2021 Honda HR-V S 1.5,241000000.0,5656505.0,Bensin,Putih,5,Agt 2021,Perorangan,33364,Ya,Tidak,Tidak,Sep 2023
4,2018 Honda BRIO SATYA E 1.2,136000000.0,3243185.0,Bensin,Abu-abu,5,Apr 2018,Perorangan,71172,Ya,Ya,Tidak,Mei 2024
5,2022 Toyota AVANZA G 1.5,200000000.0,4714161.0,Bensin,Hitam,7 atau lebih,Jul 2022,Perorangan,12211,Ya,Ya,06 Jul 2025,Jul 2023
6,2017 Daihatsu AYLA R DLX 1.2,118000000.0,2829473.0,Bensin,Merah,5,Jul 2017,Perorangan,53151,Ya,Ya,Tidak,Des 2023
7,2019 Toyota AGYA G TRD 1.2,111000000.0,2668585.0,Bensin,Abu-abu,5,Apr 2019,Perusahaan,46182,Ya,Ya,Tidak,Apr 2024
8,2017 Honda CR-V TURBO 1.5,326000000.0,7610145.0,Bensin,Merah,7 atau lebih,Sep 2017,Perorangan,64558,Ya,Tidak,Tidak,Sep 2023
9,2018 Mitsubishi OUTLANDER SPORT PX 2.0,228000000.0,5357713.0,Bensin,Merah,5,Mei 2019,Perorangan,57230,Ya,Ya,Tidak,Mei 2024
10,2021 Wuling ALMAZ RS LT LUX + SC CVT 1.5,258000000.0,6047233.0,Bensin,Putih,7 atau lebih,Sep 2021,Perorangan,38223,Ya,Ya,22 Sep 2024,Sep 2024
11,2014 Toyota KIJANG INNOVA V 2.0,191000000.0,4507305.0,Bensin,Silver,7 atau lebih,Mei 2014,Perusahaan,87616,Ya,Tidak,Tidak,Jul 2024
